CUST_ID,CUSTOMER_SEGMENT,AGE,CUSTOMER_PROFITABILITY,CUSTOMER_LIFE_TIME_VALUE,CUSTOMER_VALUE_TILL_DATE,REVENUE_LAST_ONE_YEAR,TOTAL_REVENUE_OVER_LIFETIME,NET_INTEREST_INCOME_LAST_ONE_YEAR,TOTAL_NON_INTEREST_INCOME,TOTAL_COST,TOTAL_ECONOMIC_PROFIT,CUSTOMER_REGION,ACCOUNT_TYPE,RECENCY_DAYS,FREQUENCY_LAST_YEAR,MONETARY_VALUE,CUSTOMER_SEGMENT_NUM,CUSTOMER_REGION_NUM
15,Young Adults,21,19671,16141,15711.114559276262,23613,16141,3140,4451,4780,18833,Urban,Savings,0,37,49788,1,1
16,Young Adults,24,9917,33019,18257.95187780384,8009,33019,1590,9270,9176,-1167,Suburban,Current,6,40,9747,1,2
17,Mid-Career Professionals,34,93965,178379,102998.58654328433,44327,178379,24201,26015,6824,37503,Urban,Mortgage,0,19,2721485,2,1
18,Mid-Career Professionals,38,34716,266992,259614.511602506,29209,266992,47711,14583,15683,13526,Urban,Loan,40,33,1680622,2,1
19,Mid-Career Professionals,40,31138,289511,251373.02524521705,63443,289511,18997,22619,9060,54383,Rural,Mortgage,2,49,4025413,2,3
20,Young Adults,25,7530,37967,35745.813273656,20029,37967,3791,8720,7324,12705,Urban,Savings,11,79,28437,1,1
21,Mid-Career Professionals,35,71112,221675,133296.7945859761,82613,221675,13225,17224,5404,77209,Suburban,Credit Card,50,32,3920673,2,2
22,Young Adults,25,12045,26172,20775.14870933763,18907,26172,3618,5280,3721,15186,Urban,Current,14,41,14854,1,1
23,Young Adults,24,6048,31390,26699.385934382248,8867,31390,2126,8906,8996,-129,Urban,Savings,21,87,57076,1,1
24,Mid-Career Professionals,42,91308,118803,99801.16616337835,77559,118803,45228,11016,16017,61542,Urban,Credit Card,15,43,943382,2,1
25,Mid-Career Professionals,32,68244,220404,155181.13263689188,79892,220404,33110,18036,8845,71047,Suburban,Credit Card,9,15,2869861,2,2
26,Mid-Career Professionals,39,37347,141703,71942.25116866674,85409,141703,20754,24933,16384,69025,Suburban,Credit Card,53,37,594496,2,2
27,Young Adults,24,5536,36312,28739.6054873382,13635,36312,2079,6200,7772,5863,Urban,Savings,28,58,24455,1,1
28,Mid-Career Professionals,32,51822,274448,171955.60561238264,48065,274448,13114,12938,21448,26617,Urban,Savings,58,32,4907144,2,1
29,Mid-Career Professionals,34,66659,265598,192592.31363352967,48783,265598,36502,9141,14491,34292,Rural,Savings,58,15,482605,2,3
30,Young Adults,20,12340,20906,20462.59435067114,6384,20906,616,8966,6920,-536,Urban,Current,5,99,45484,1,1
31,Mid-Career Professionals,41,27967,295404,206640.31448642287,73741,295404,30028,14546,16785,56956,Rural,Loan,28,11,1047719,2,3
32,Young Adults,25,17415,32297,29710.036245220494,13745,32297,1203,7335,2968,10777,Urban,Savings,16,43,86638,1,1
33,Young Adults,19,16871,17011,10109.132122200255,23734,17011,1759,7077,2368,21366,Suburban,Savings,20,36,8404,1,2
34,Retired Seniors,77,38763,170234,142354.82021039637,39092,170234,2565,15247,11424,27668,Urban,Investment,89,17,4381819,3,1
35,Retired Seniors,79,21916,94014,92933.16590731141,27653,94014,3174,7611,5242,22411,Rural,Investment,179,5,9721049,3,3
36,Retired Seniors,66,18734,293166,161518.7964052577,42463,293166,3081,10089,8002,34461,Suburban,Investment,154,10,5704497,3,2
37,Mid-Career Professionals,28,53613,192810,97207.08403041244,55469,192810,45398,7892,8083,47386,Urban,Loan,16,14,3880895,2,1
38,Young Adults,19,16795,43797,31393.312784465306,15401,43797,3161,4496,2920,12481,Urban,Savings,20,79,58205,1,1
39,Mid-Career Professionals,35,72188,228570,124870.70333052552,63287,228570,14321,10577,18322,44965,Suburban,Credit Card,50,38,4562028,2,2
40,Mid-Career Professionals,32,75099,61120,53430.62572610562,69745,61120,40435,25002,6469,63276,Suburban,Loan,49,21,1001334,2,2
41,Young Adults,18,7494,23767,22751.53904684435,16864,23767,3168,3559,6725,10139,Urban,Savings,10,66,10400,1,1
42,Mid-Career Professionals,39,98213,72852,52235.647951889245,20543,72852,20313,11683,9259,11284,Urban,Mortgage,55,12,1843579,2,1
43,Young Adults,24,7719,28703,18064.40013239381,23265,28703,4078,3507,5622,17643,Rural,Current,6,84,91173,1,3
44,Retired Seniors,62,28268,258559,185438.943879515,35097,258559,5801,18335,13292,21805,Urban,Savings,68,15,4801264,3,1
45,Young Adults,21,17330,41039,35364.287498373094,15079,41039,4151,6071,4265,10814,Suburban,Current,4,67,44015,1,2
46,Mid-Career Professionals,38,80545,295221,148946.98931795935,84345,295221,28984,7063,22207,62138,Urban,Loan,43,33,828165,2,1
47,Mid-Career Professionals,27,92146,145040,115267.20331743023,37191,145040,32559,25026,8431,28760,Rural,Savings,47,28,1032478,2,3
48,Mid-Career Professionals,28,91966,198510,160127.2661834968,87742,198510,22861,7000,9151,78591,Rural,Savings,56,17,2674660,2,3
49,Mid-Career Professionals,30,59922,229587,187995.96577004858,43992,229587,43434,20566,9213,34779,Rural,Loan,20,11,1934927,2,3
50,Young Adults,20,18828,20744,12882.253013561658,18746,20744,283,7007,9043,9703,Urban,Savings,17,58,21167,1,1
51,Retired Seniors,67,41497,264892,227019.42700053938,25995,264892,5840,3294,10420,15575,Rural,Investment,128,17,7013231,3,3
52,Mid-Career Professionals,37,75677,223489,121956.99594440119,63803,223489,13565,20096,13989,49814,Urban,Credit Card,19,41,3551020,2,1
53,Retired Seniors,66,46618,354503,212572.46604424517,23210,354503,4593,6065,3779,19431,Suburban,Investment,44,5,3324665,3,2
54,Retired Seniors,74,36526,200871,188564.6428707662,27793,200871,1465,16090,14042,13751,Suburban,Savings,98,10,7468350,3,2
55,Mid-Career Professionals,42,45032,148746,129314.05688898692,41270,148746,31118,29398,24276,16994,Urban,Loan,12,22,3106374,2,1
56,Retired Seniors,63,47846,274834,139305.87279557704,15197,274834,6257,19987,8534,6663,Rural,Investment,105,15,2421086,3,3
57,Young Adults,22,15322,19652,12266.545134393658,20553,19652,2060,3322,3893,16660,Urban,Current,29,29,61879,1,1
58,Young Adults,23,17168,39323,23877.053065370103,12452,39323,3672,7956,5306,7146,Suburban,Savings,22,78,70839,1,2
59,Young Adults,18,18410,22597,14358.205297325734,13718,22597,2494,9650,4902,8816,Suburban,Current,20,74,34756,1,2
60,Mid-Career Professionals,38,81588,97093,60564.66038789251,29859,97093,10992,23825,18391,11468,Suburban,Credit Card,36,29,4962347,2,2
61,Mid-Career Professionals,43,90984,218298,115973.68265403589,42236,218298,16858,22482,8718,33518,Urban,Loan,5,26,1329133,2,1
62,Young Adults,18,6179,21591,15749.992346920973,7172,21591,2121,7073,2021,5151,Urban,Savings,6,36,16025,1,1
63,Retired Seniors,75,38861,258434,223898.6214114439,26663,258434,2223,11318,4500,22163,Rural,Investment,55,8,4649658,3,3
64,Mid-Career Professionals,38,48141,207489,166689.5794149481,34053,207489,30906,13488,14034,20019,Urban,Credit Card,41,14,774075,2,1
65,Young Adults,19,14074,33693,28182.032565037553,16085,33693,3188,5049,9607,6478,Urban,Savings,15,79,75097,1,1
66,Mid-Career Professionals,37,26406,260746,140952.6618533051,45564,260746,14136,15417,8641,36923,Urban,Mortgage,7,32,4785903,2,1
67,Young Adults,23,13591,17169,16752.57200151263,8981,17169,4524,9382,7212,1769,Urban,Current,8,65,97943,1,1
68,Retired Seniors,61,33291,265164,243750.9243145759,31153,265164,343,17302,3191,27962,Rural,Investment,33,8,1242476,3,3
69,Young Adults,24,13800,37052,33441.10324045065,10247,37052,4461,8458,7114,3133,Urban,Current,20,29,80705,1,1
70,Retired Seniors,62,42003,254923,232360.25026633125,20553,254923,4704,15350,11587,8966,Suburban,Savings,178,18,1061032,3,2
71,Mid-Career Professionals,35,66851,58036,56083.39352499647,35811,58036,41376,25171,9662,26149,Urban,Savings,39,37,3726523,2,1
72,Young Adults,19,6638,46778,36118.55601343328,11135,46778,4823,8150,6326,4809,Urban,Current,24,62,7124,1,1
73,Young Adults,23,10671,42734,25646.425875777564,10573,42734,2276,4096,2873,7700,Urban,Savings,6,45,43051,1,1
74,Retired Seniors,72,33312,204245,165109.98399292113,23731,204245,4920,13801,13813,9918,Urban,Investment,172,11,1555752,3,1
75,Mid-Career Professionals,38,63108,211475,184287.93193671372,22189,211475,29585,23592,15471,6718,Urban,Credit Card,52,38,4022381,2,1
76,Mid-Career Professionals,43,86918,247393,214974.29884701618,95077,247393,48239,27372,17641,77436,Suburban,Savings,34,36,1606610,2,2
77,Mid-Career Professionals,28,54171,252747,192270.83825555322,58646,252747,27272,21559,14196,44450,Urban,Loan,48,27,4807915,2,1
78,Young Adults,20,14011,21344,11402.591452727946,16087,21344,2043,9758,7452,8635,Urban,Savings,10,79,23676,1,1
79,Mid-Career Professionals,32,88828,68800,47166.2850819964,68687,68800,19533,12169,17726,50961,Urban,Savings,40,19,1193753,2,1
80,Young Adults,23,14011,40372,38772.59475844134,7776,40372,3720,7096,7494,282,Urban,Current,4,88,95296,1,1
81,Retired Seniors,79,43187,373660,296022.5898099799,37564,373660,2883,12694,11536,26028,Rural,Savings,71,14,4171013,3,3
82,Mid-Career Professionals,42,32411,70538,54255.42930668576,43835,70538,25696,17191,24095,19740,Suburban,Credit Card,46,30,2649698,2,2
83,Mid-Career Professionals,37,77009,113918,72272.62732569536,76587,113918,39968,23051,17944,58643,Urban,Mortgage,27,33,596184,2,1
84,Young Adults,18,14700,29973,20508.25973832981,12697,29973,4212,6371,8273,4424,Urban,Current,28,22,83653,1,1
85,Mid-Career Professionals,41,52371,121155,114815.32771567612,95165,121155,33345,15737,11284,83881,Rural,Loan,13,49,4938995,2,3
86,Mid-Career Professionals,37,77022,281312,234398.0264129346,88922,281312,35693,23207,13817,75105,Urban,Credit Card,3,40,4174463,2,1
87,Mid-Career Professionals,40,91229,109500,97859.43971469022,32046,109500,29385,10147,23062,8984,Rural,Mortgage,52,46,195287,2,3
88,Mid-Career Professionals,35,71196,217647,158266.95914720296,72823,217647,28122,22740,13414,59409,Urban,Credit Card,19,11,3365302,2,1
89,Retired Seniors,66,24818,286527,233554.92252455727,18044,286527,1364,8199,3743,14301,Rural,Savings,63,6,8830512,3,3
90,Mid-Career Professionals,45,46715,223333,139402.62824572338,68370,223333,12708,5546,21846,46524,Rural,Savings,11,48,2977903,2,3
91,Young Adults,22,16221,42716,36425.2324131947,14615,42716,4790,7231,3568,11047,Suburban,Savings,0,61,90447,1,2
92,Mid-Career Professionals,26,51174,184308,131559.17330609733,20060,184308,27308,12965,16539,3521,Urban,Mortgage,23,43,4141682,2,1
93,Mid-Career Professionals,42,29956,196920,142033.03138865985,91436,196920,42919,23467,18993,72443,Urban,Savings,19,29,3694909,2,1
94,Mid-Career Professionals,28,96373,52352,43172.661168124454,75519,52352,35161,7040,18451,57068,Urban,Credit Card,4,42,1491864,2,1
95,Mid-Career Professionals,38,89252,183004,177173.54942564972,86117,183004,45089,25918,19692,66425,Urban,Mortgage,37,13,4258433,2,1
96,Mid-Career Professionals,39,81949,126449,67271.26926115675,76158,126449,23865,6752,23120,53038,Urban,Credit Card,29,20,1341165,2,1
97,Mid-Career Professionals,43,82646,58556,53424.83250304569,49782,58556,10495,6849,18334,31448,Urban,Loan,23,14,2553611,2,1
98,Mid-Career Professionals,29,90017,136836,88422.26764818144,93533,136836,12148,7642,12903,80630,Suburban,Mortgage,42,34,4783024,2,2
99,Young Adults,19,18885,20498,14798.730489235866,15635,20498,556,3600,5951,9684,Suburban,Current,7,68,32387,1,2
100,Young Adults,23,12898,25582,13071.29338836114,18648,25582,1552,5396,9437,9211,Urban,Current,6,56,9090,1,1
101,Young Adults,22,11548,24569,15982.700543155619,12148,24569,2120,7759,9002,3146,Urban,Savings,3,53,29945,1,1
102,Mid-Career Professionals,41,93294,297199,223290.25133921608,71918,297199,45853,25786,22740,49178,Rural,Loan,37,18,2200895,2,3
103,Mid-Career Professionals,26,43177,176060,92975.18008889505,99284,176060,42924,16797,6014,93270,Urban,Mortgage,15,15,1179500,2,1
104,Mid-Career Professionals,39,44022,237954,177406.09659482082,94558,237954,18926,25183,15860,78698,Suburban,Savings,51,27,3386996,2,2
105,Retired Seniors,74,15542,251465,242300.43714294222,30013,251465,7505,19002,4054,25959,Urban,Savings,172,18,4562320,3,1
106,Young Adults,18,14092,15340,8478.365982886866,10919,15340,4654,3132,3764,7155,Urban,Current,13,38,96815,1,1
107,Mid-Career Professionals,40,80428,225021,198518.10853613904,96422,225021,32634,10491,11009,85413,Urban,Credit Card,22,23,1778176,2,1
108,Mid-Career Professionals,42,42740,132302,93251.14985187529,40256,132302,42363,10795,14604,25652,Urban,Credit Card,11,49,3576732,2,1
109,Young Adults,18,15201,41132,34040.30261290754,11638,41132,3276,4115,9820,1818,Rural,Current,28,36,46400,1,3
110,Young Adults,25,13433,23491,14802.10896163551,9651,23491,154,4339,2667,6984,Suburban,Savings,11,79,90177,1,2
111,Young Adults,21,19828,15138,8776.19693517554,5609,15138,996,4739,5370,239,Urban,Savings,15,61,98018,1,1
112,Young Adults,21,12380,15358,8911.192414988747,12940,15358,2294,6276,7976,4964,Rural,Current,14,91,85399,1,3
113,Retired Seniors,64,26052,169619,90787.88666402228,46634,169619,4626,9633,4394,42240,Urban,Savings,122,5,6387136,3,1
114,Retired Seniors,64,45153,397520,235659.13906617105,26755,397520,2905,19871,11290,15465,Rural,Investment,136,17,6853056,3,3
115,Mid-Career Professionals,36,67076,149931,124759.03830539051,38382,149931,24259,29232,13613,24769,Rural,Savings,48,45,4868614,2,3
116,Retired Seniors,65,10671,206951,194708.87690581294,32394,206951,9369,7009,8599,23795,Urban,Savings,50,11,4304287,3,1
117,Retired Seniors,66,10163,393676,357088.8717003931,12253,393676,153,4113,6650,5603,Urban,Savings,44,18,8110073,3,1
118,Young Adults,25,13656,41762,35187.2895244891,9942,41762,4187,3044,6157,3785,Urban,Savings,13,24,69541,1,1
119,Retired Seniors,73,14795,194355,107908.99240663245,10864,194355,6481,15923,12324,-1460,Suburban,Savings,71,12,6282060,3,2
120,Mid-Career Professionals,36,30634,244994,157921.59460891498,55222,244994,48367,7431,14894,40328,Suburban,Loan,43,37,3122927,2,2
121,Retired Seniors,72,14798,220492,144400.9687768009,23666,220492,1716,15926,6620,17046,Rural,Investment,44,18,6169453,3,3
122,Retired Seniors,61,32420,367712,229812.08433688106,30955,367712,786,3582,6190,24765,Suburban,Savings,92,15,5162608,3,2
123,Mid-Career Professionals,32,49300,135090,102331.05728509325,96845,135090,14368,19374,20345,76500,Urban,Credit Card,3,26,2080343,2,1
124,Young Adults,21,12961,35219,27040.334903123596,23621,35219,4272,3308,2597,21024,Urban,Savings,26,39,75935,1,1
125,Young Adults,21,15749,49919,33867.19549728333,9054,49919,3767,6917,9549,-495,Suburban,Savings,22,22,64660,1,2
126,Mid-Career Professionals,33,45121,124965,84588.13111074935,81471,124965,37454,13793,5391,76080,Urban,Savings,28,46,1345175,2,1
127,Retired Seniors,79,47487,227912,208374.8817149854,32778,227912,8834,3620,4075,28703,Suburban,Savings,134,14,6985907,3,2
128,Retired Seniors,80,38411,225767,201981.63924329524,26709,225767,5994,6766,5650,21059,Urban,Investment,82,19,7488087,3,1
129,Young Adults,20,5593,34218,22375.078884225877,14726,34218,4662,7362,7408,7318,Urban,Savings,19,70,71612,1,1
130,Mid-Career Professionals,38,41223,127988,122470.97767722535,75824,127988,35241,10192,19317,56507,Urban,Loan,8,17,238307,2,1
131,Mid-Career Professionals,39,92930,239414,233765.62724031898,55542,239414,29810,11622,23768,31774,Suburban,Mortgage,52,22,1237333,2,2
132,Young Adults,19,19056,33951,22522.118022230956,6985,33951,3783,8093,2809,4176,Urban,Savings,24,67,21417,1,1
133,Young Adults,20,16996,16307,11043.303819984172,19252,16307,3701,8704,9371,9881,Suburban,Current,23,22,39609,1,2
134,Mid-Career Professionals,27,46035,130388,98158.31299819118,36316,130388,19261,21484,11895,24421,Urban,Savings,51,10,3086369,2,1
135,Retired Seniors,68,40620,347572,337339.621526977,47371,347572,2349,2237,4159,43212,Suburban,Savings,136,13,3548558,3,2
136,Mid-Career Professionals,42,39877,289779,271858.98450827296,99698,289779,49779,28610,6531,93167,Suburban,Credit Card,42,40,1696509,2,2
137,Mid-Career Professionals,28,75316,142021,78293.90230704201,30960,142021,39079,29416,10481,20479,Urban,Loan,6,35,3701817,2,1
138,Mid-Career Professionals,31,84041,168418,117280.4631601427,45791,168418,43980,26602,15874,29917,Suburban,Loan,52,26,4250450,2,2
139,Mid-Career Professionals,30,73352,256846,199488.58830123494,40216,256846,24141,25409,24932,15284,Urban,Savings,41,43,1868494,2,1
140,Retired Seniors,64,40911,220047,165379.89559377436,42467,220047,9344,13110,14377,28090,Urban,Savings,33,13,9212985,3,1
141,Retired Seniors,74,42784,182212,108768.08866745855,17754,182212,6704,8073,9163,8591,Urban,Investment,162,18,6116467,3,1
142,Young Adults,24,8191,39842,37029.48889844081,19246,39842,2511,4542,8671,10575,Suburban,Current,10,32,28401,1,2
143,Mid-Career Professionals,42,53160,76421,64076.74578870065,19078,76421,10143,20282,10264,8814,Rural,Mortgage,40,14,894203,2,3
144,Mid-Career Professionals,34,84641,51708,47517.28312341853,93389,51708,20681,15195,22615,70774,Suburban,Mortgage,27,22,572650,2,2
145,Young Adults,20,5571,18630,17314.389262140336,22751,18630,3228,3537,9698,13053,Suburban,Current,15,20,72449,1,2
146,Young Adults,21,8631,34595,30242.185378783135,9042,34595,4582,2754,4423,4619,Suburban,Current,8,66,97604,1,2
147,Mid-Career Professionals,42,26172,126021,90685.37959004531,64052,126021,23147,16560,16767,47285,Urban,Loan,53,13,3640886,2,1
148,Mid-Career Professionals,35,62080,209380,168608.1397825648,29389,209380,21397,18434,13071,16318,Rural,Credit Card,29,45,3921476,2,3
149,Young Adults,20,12177,41086,23837.386537917886,7575,41086,4243,9396,6261,1314,Urban,Savings,3,82,88251,1,1
150,Young Adults,19,13433,31859,26660.334677666542,11754,31859,3142,5665,3573,8181,Rural,Savings,1,71,62042,1,3
151,Retired Seniors,77,30281,57684,34012.02240203234,38179,57684,9549,18924,5908,32271,Suburban,Savings,178,14,9728780,3,2
152,Young Adults,23,17287,40552,34346.521897183935,22965,40552,2713,7510,6712,16253,Suburban,Savings,5,47,70873,1,2
153,Young Adults,18,13123,16207,9964.048695669784,6986,16207,4185,2269,8755,-1769,Suburban,Current,10,25,52024,1,2
154,Mid-Career Professionals,28,71431,96099,53697.781196567994,33624,96099,27107,29310,17190,16434,Urban,Savings,52,36,1827386,2,1
155,Retired Seniors,62,35364,116093,67640.68615708318,30350,116093,5694,7131,6883,23467,Suburban,Investment,111,12,9160809,3,2
156,Young Adults,23,12451,44689,22389.013265402515,20470,44689,3010,7986,5515,14955,Urban,Savings,11,31,98249,1,1
157,Mid-Career Professionals,38,48602,98651,84777.69102043431,39704,98651,15555,13697,24787,14917,Suburban,Mortgage,4,12,895415,2,2
158,Mid-Career Professionals,40,71399,63893,55344.150113743504,22493,63893,10067,22513,15150,7343,Suburban,Savings,8,42,4838587,2,2
159,Young Adults,18,12088,47272,35806.9646585498,9103,47272,3836,4079,6009,3094,Rural,Current,19,93,96628,1,3
160,Mid-Career Professionals,34,69230,116418,67601.76728663284,69383,116418,44305,8145,24119,45264,Suburban,Savings,27,40,570897,2,2
161,Mid-Career Professionals,29,93616,175074,94851.09604267325,17994,175074,21549,18100,9491,8503,Urban,Loan,25,24,1187462,2,1
162,Mid-Career Professionals,39,27099,153065,77996.48762386166,84280,153065,15680,29937,18919,65361,Urban,Credit Card,17,16,4389453,2,1
163,Mid-Career Professionals,30,45431,180351,105121.92473192725,62234,180351,35739,25104,19168,43066,Suburban,Mortgage,18,45,4912612,2,2
164,Mid-Career Professionals,27,76492,241083,227926.562470171,62291,241083,31209,9067,13593,48698,Urban,Credit Card,2,23,3772689,2,1
165,Young Adults,20,19802,44535,27645.921622592195,10594,44535,555,6195,2974,7620,Urban,Savings,8,97,39890,1,1
166,Retired Seniors,68,40111,390662,264531.17261666595,17371,390662,6048,11244,3223,14148,Rural,Investment,129,7,6606825,3,3
167,Mid-Career Professionals,28,83936,156233,86345.72053848606,62315,156233,25116,12281,9613,52702,Suburban,Savings,30,12,3755694,2,2
168,Young Adults,20,11230,22269,13610.381947718502,23028,22269,3661,4509,8777,14251,Suburban,Current,16,38,55406,1,2
169,Young Adults,21,15340,43064,32711.94345803938,8144,43064,1751,7016,2235,5909,Urban,Current,16,95,8688,1,1
170,Mid-Career Professionals,34,61991,172813,138920.2822119045,94526,172813,45709,20502,16426,78100,Suburban,Savings,54,14,3098163,2,2
171,Mid-Career Professionals,28,90476,129063,80364.45286161685,31626,129063,36905,11533,21609,10017,Urban,Mortgage,22,19,4265666,2,1
172,Young Adults,18,8271,17454,9230.828553557598,12954,17454,1959,6727,4277,8677,Suburban,Savings,1,52,25641,1,2
173,Mid-Career Professionals,27,80920,70878,49296.81384900588,22130,70878,27985,22065,13183,8947,Urban,Savings,40,22,525716,2,1
174,Young Adults,21,17374,27991,17273.29327779951,11828,27991,2793,8300,6277,5551,Rural,Current,8,70,40797,1,3
175,Mid-Career Professionals,35,83530,118344,72163.44474535383,72514,118344,27864,19670,22725,49789,Urban,Credit Card,4,41,3553822,2,1
176,Young Adults,18,8456,45386,44475.16658197644,13844,45386,1102,5932,6036,7808,Urban,Current,14,94,30046,1,1
177,Mid-Career Professionals,40,27788,236292,190959.4372101806,67664,236292,25613,19595,13401,54263,Suburban,Loan,46,47,1775203,2,2
178,Mid-Career Professionals,33,48082,163613,127362.77636135806,32883,163613,16447,18041,8727,24156,Suburban,Mortgage,2,33,4697158,2,2
179,Retired Seniors,64,34034,250410,177262.12183663753,28542,250410,5499,7560,6928,21614,Urban,Investment,32,7,6550485,3,1
180,Young Adults,20,7711,43753,31260.300710284555,15164,43753,1299,6016,8239,6925,Suburban,Savings,5,89,18222,1,2
181,Mid-Career Professionals,27,96816,202155,155750.82552544362,76269,202155,49469,28723,24187,52082,Urban,Credit Card,3,49,281136,2,1
182,Young Adults,25,6668,33354,28291.35989194116,15450,33354,4994,5302,3109,12341,Rural,Savings,23,73,42010,1,3
183,Retired Seniors,74,26531,334334,284542.6564604279,30423,334334,7489,2719,9558,20865,Rural,Savings,74,17,5866434,3,3
184,Retired Seniors,65,32804,56142,32890.61968319967,12035,56142,9727,2074,13218,-1183,Urban,Savings,74,16,2991807,3,1
185,Young Adults,25,17519,43398,32550.946607310725,16463,43398,77,3293,2393,14070,Rural,Savings,26,81,90550,1,3
186,Mid-Career Professionals,30,64857,233043,164523.47517051612,55745,233043,12831,25541,20992,34753,Urban,Savings,10,44,1022879,2,1
187,Retired Seniors,75,20142,354006,331088.8846105798,27241,354006,2721,15161,12035,15206,Urban,Investment,38,8,7013766,3,1
188,Mid-Career Professionals,43,68355,279740,228186.5645108143,67975,279740,21819,29895,14716,53259,Rural,Savings,16,42,4026365,2,3
189,Mid-Career Professionals,31,29866,234482,179672.30925067613,38154,234482,34813,7149,13795,24359,Suburban,Credit Card,53,22,2696496,2,2
190,Young Adults,22,9531,34503,19242.230669549594,17182,34503,1996,3452,2581,14601,Urban,Current,0,75,50097,1,1
191,Young Adults,21,17686,49631,39844.70704250512,5298,49631,3427,6969,8138,-2840,Urban,Savings,2,55,58276,1,1
192,Retired Seniors,75,48098,394179,220189.15916856437,43691,394179,277,16033,13131,30560,Urban,Investment,55,10,9894128,3,1
193,Retired Seniors,72,48278,320160,214060.0286165656,23331,320160,3089,6207,3132,20199,Rural,Investment,55,15,5390552,3,3
194,Mid-Career Professionals,30,84027,52384,29933.316742416977,78927,52384,43291,28525,24222,54705,Urban,Loan,22,28,4410500,2,1
195,Mid-Career Professionals,38,77906,243392,205918.5945482776,99719,243392,30659,20043,19984,79735,Urban,Mortgage,29,21,1157980,2,1
196,Mid-Career Professionals,42,48138,196144,118299.55730813916,78014,196144,40429,14078,8385,69629,Urban,Savings,9,20,1575431,2,1
197,Mid-Career Professionals,43,49956,152239,105947.63955738595,54346,152239,25732,16725,8770,45576,Urban,Mortgage,7,15,2650966,2,1
198,Retired Seniors,67,49261,161431,153010.33751288854,14875,161431,3122,5936,5268,9607,Urban,Savings,93,16,2532479,3,1
199,Retired Seniors,72,20759,392162,236143.5607732535,22254,392162,8167,11307,3975,18279,Urban,Investment,179,15,4283203,3,1
200,Mid-Career Professionals,44,25439,90510,68235.71816945454,70734,90510,15190,22459,12605,58129,Urban,Credit Card,14,34,996881,2,1
201,Mid-Career Professionals,28,67241,230005,163219.78921324544,43621,230005,14575,25260,12213,31408,Urban,Loan,58,12,1700548,2,1
202,Young Adults,25,14765,36826,18746.71796777502,23186,36826,1797,6615,3813,19373,Rural,Current,8,22,73591,1,3
203,Young Adults,25,16886,17490,15677.669703194248,15905,17490,2131,6907,5263,10642,Urban,Current,23,47,82722,1,1
204,Retired Seniors,61,23279,171668,91760.48632260736,25882,171668,7322,9265,12735,13147,Suburban,Investment,103,11,764826,3,2
205,Mid-Career Professionals,33,59279,292700,215757.22231997715,75197,292700,32884,27763,7835,67362,Suburban,Savings,19,12,2104126,2,2
206,Young Adults,20,16483,40518,31617.781577168185,24041,40518,815,3924,4738,19303,Rural,Current,8,61,26832,1,3
